CN,TL,TG,TC_25,TC_26-50,TC_51-75,TC_76-100,LT_25,LT_25-50,LT_51-75,LT_76-100,TL/TLA,TCL_25/Y_2000_TC_25,TCL_50/Y_2000_TC_50,TCL_75/Y_2000_TC_75,TG/Y_2000_TC-50,L_50+TG/Y_2000_TC_50,BLG
Nigeria,10239,603,772371,82016,44023,3125,5987,2670,1435,147,1.1,3.3,3.4,4.7,1.3,4.6,4.4
South Africa,9526,8313,1145626,39602,20818,10826,678,1074,3365,4411,0.8,12.4,24.6,40.7,26.3,50.8,36.2
India,8971,2549,2703530,112692,136677,167827,810,855,2117,5189,0.3,2.0,2.4,3.1,0.8,3.2,3.0
Guatemala,8883,1094,29734,8709,11952,57571,105,323,1097,7357,8.2,11.2,12.2,12.8,1.6,13.7,13.4
Nicaragua,8225,662,39402,8527,12384,58289,109,230,650,7236,6.9,10.2,11.2,12.4,0.9,12.1,12.0
France,7664,5062,373705,19842,37021,115684,209,330,1149,5977,1.4,4.3,4.7,5.2,3.3,8.0,7.6
Spain,6908,4482,386553,36472,28533,52468,676,982,1698,3552,1.4,5.3,6.5,6.8,5.5,12.0,11.4
New Zealand,6883,7102,149606,5653,14375,93838,24,22,126,6711,2.6,6.0,6.3,7.2,6.6,12.9,10.7
Papua New Guinea,6337,2308,27933,11647,23295,396660,29,35,197,6076,1.4,1.5,1.5,1.5,0.5,2.0,1.9
Philippines,6227,2726,102570,15788,33051,141108,84,90,485,5569,2.1,3.2,3.5,3.9,1.6,5.0,4.7
Poland,5829,5041,201808,11013,30655,64857,79,163,814,4773,1.9,5.4,5.8,7.4,5.3,11.1,10.7
Ukraine,5657,3529,470946,19510,28312,68474,150,234,900,4372,1.0,4.7,5.4,6.4,3.6,9.1,8.8
Ghana,5406,1345,153157,36659,40464,2074,911,1099,2863,533,2.3,5.7,8.0,25.7,3.2,11.1,10.3
Ecuador,5246,1027,62024,12832,20737,158764,58,118,373,4697,2.1,2.7,2.8,3.0,0.6,3.4,3.3
Portugal,4987,2866,64476,8726,6753,9147,459,784,1246,2497,5.6,18.4,23.5,27.3,18.0,41.6,36.1
Germany,4890,2585,226231,10219,25175,91960,61,79,457,4294,1.4,3.8,4.1,4.7,2.2,6.3,6.1
Honduras,4860,582,32713,11870,14297,52664,84,238,560,3978,4.4,6.1,6.8,7.6,0.9,7.6,7.6
Cameroon,4816,651,120385,90110,77877,174702,548,691,1595,1981,1.0,1.2,1.4,1.1,0.3,1.7,1.6
Mongolia,4779,103,1508028,26031,15552,3080,857,1514,1485,922,0.3,8.8,12.9,29.9,0.6,13.5,13.5
Central African Republic,4719,395,101812,209547,238922,68765,226,910,1869,1714,0.8,0.9,1.2,2.5,0.1,1.3,1.3
Japan,4303,2570,102902,9616,22119,233863,71,57,253,3924,1.2,1.6,1.6,1.7,1.0,2.6,2.5
Belarus,4167,3755,112240,8835,25820,57913,26,89,547,3504,2.0,4.5,4.8,6.1,4.5,9.3,9.1
Latvia,4120,1857,27713,2742,7086,26126,10,32,253,3825,6.5,11.4,12.3,14.6,5.6,17.9,17.6
Liberia,3955,1084,1221,3783,54435,36117,7,96,2305,1547,4.1,4.2,4.3,4.3,1.2,5.5,4.9
Guinea,3933,296,130230,91912,19736,1821,1251,1604,923,155,1.6,2.4,5.0,8.5,1.4,6.4,6.1
Zimbabwe,3869,486,362829,21175,2132,799,2284,1018,353,214,1.0,6.6,19.3,26.8,16.6,35.9,29.2
Uganda,3654,685,105539,67065,24230,8489,154,703,1118,1679,1.8,3.5,8.5,19.8,2.1,10.6,10.2
Norway,3520,1729,187652,21453,35282,62297,18,37,214,3252,1.1,2.9,3.6,5.2,1.8,5.3,5.3
Turkey,3426,1783,664081,24543,23040,59104,535,488,706,1697,0.4,2.7,2.9,2.9,2.2,5.1,4.7
Benin,3307,69,108992,5962,81,8,2835,405,59,8,2.9,7.8,75.3,100.0,77.5,152.8,143.8
Chad,3306,1,1257866,9549,72,0,2914,382,10,0,0.3,4.1,13.9,-,1.4,15.3,15.3
Kenya,3059,1005,530692,20815,9271,9636,732,587,612,1129,0.5,5.9,9.2,11.7,5.3,14.5,13.8
Republic of Congo,2993,467,52860,46265,25236,214202,101,272,803,1819,0.9,1.0,1.1,0.8,0.2,1.3,1.2
Ethiopia,2821,625,968731,100537,33866,20399,375,947,828,671,0.3,1.6,2.8,3.3,1.2,3.9,3.8
United Kingdom,2689,2111,203651,8793,14394,15185,84,167,478,1960,1.1,6.8,8.2,12.9,7.1,15.4,14.9
Panama,2675,323,16563,3089,4854,49687,35,69,262,2308,3.6,4.6,4.7,4.6,0.6,5.3,5.2
Romania,2307,1530,154828,7088,10939,62836,20,25,103,2158,1.0,2.8,3.1,3.4,2.1,5.1,5.0
Estonia,2179,894,16601,2052,5085,19569,5,11,126,2036,5.0,8.1,8.8,10.4,3.6,12.4,12.3
Uruguay,2027,4985,157077,3568,5359,8522,26,73,282,1646,1.2,11.5,13.9,19.3,35.9,49.8,45.2
Austria,2015,658,39299,2743,7205,33933,11,22,130,1853,2.4,4.6,4.8,5.5,1.6,6.4,6.3
Burkina Faso,1993,0,274158,11,0,0,1987,5,0,0,0.7,45.5,-,-,-,-,-
Sierra Leone,1967,451,11320,24844,33463,2424,24,240,1231,472,2.7,3.2,4.7,19.5,1.3,6.0,5.6
Dominican Republic,1929,393,21365,4064,4619,17744,72,120,276,1462,4.0,7.0,7.8,8.2,1.8,9.5,9.4
Gabon,1891,391,11898,8112,10885,230775,27,110,285,1469,0.7,0.7,0.7,0.6,0.2,0.9,0.8
Lithuania,1845,1226,40296,1889,5303,16472,9,20,160,1655,2.9,7.8,8.3,10.0,5.6,14.0,13.7
Cuba,1725,2271,68008,4982,7388,28775,90,126,295,1214,1.6,4.0,4.2,4.2,6.3,10.5,10.4
Mali,1694,0,1247103,1007,3,0,1650,40,3,0,0.1,4.3,100.0,-,0.0,100.0,100.0
Costa Rica,1653,382,11327,2752,5663,31183,28,68,200,1356,3.2,4.1,4.2,4.3,1.0,5.3,5.1
Czech Republic,1646,1331,46934,2445,6429,22264,14,25,197,1410,2.1,5.2,5.6,6.3,4.6,10.2,10.0
South Sudan,1635,38,460581,128358,39278,1773,567,629,356,83,0.3,0.6,1.1,4.7,0.1,1.2,1.1
North Korea,1605,137,67695,12808,31773,9164,96,262,837,411,1.3,2.8,3.0,4.5,0.3,3.4,3.4
Italy,1603,898,201331,13199,19020,64805,113,105,244,1142,0.5,1.5,1.7,1.8,1.1,2.7,2.5
Greece,1566,356,91341,10219,8443,21132,188,181,311,886,1.2,3.5,4.0,4.2,1.2,5.3,5.1
South Korea,1463,271,43787,9776,28496,16694,230,215,560,458,1.5,2.2,2.3,2.7,0.6,2.9,2.8
Malawi,1290,103,71949,19030,2967,163,399,540,309,43,1.4,4.0,11.2,26.4,3.3,14.5,13.8
Slovakia,1237,523,24608,1245,2814,20170,6,11,67,1153,2.5,5.1,5.3,5.7,2.3,7.6,7.4
Belize,1206,128,4073,437,675,16434,5,10,35,1155,5.6,6.8,7.0,7.0,0.7,7.7,7.5
Hungary,1107,1350,71070,2658,3705,14263,12,19,84,992,1.2,5.3,6.0,7.0,7.5,13.5,13.0
Sri Lanka,985,264,24684,4952,9285,26177,64,77,294,551,1.5,2.3,2.4,2.1,0.7,3.1,3.0
Guyana,915,114,18733,1096,1319,187681,4,6,14,890,0.4,0.5,0.5,0.5,0.1,0.5,0.5
Senegal,832,2,192538,1723,20,1,806,23,3,0,0.4,1.5,14.3,0.0,9.5,23.8,23.8
Kazakhstan,828,239,2628744,13973,13954,17598,329,196,125,178,0.0,1.1,1.0,1.0,0.8,1.7,1.7
Bulgaria,779,678,68662,3910,6653,32070,18,20,71,670,0.7,1.8,1.9,2.1,1.8,3.7,3.4
Ireland,778,1238,60220,2358,3492,2899,26,38,122,592,1.1,8.6,11.2,20.4,19.4,30.5,29.0
Togo,768,24,48707,6809,1270,5,383,333,50,2,1.4,4.8,4.1,40.0,1.9,6.0,5.8
Swaziland,747,603,11310,3962,1386,597,48,84,204,412,4.3,11.8,31.1,69.0,30.4,61.5,41.9
Algeria,743,325,2294657,4212,3989,4967,67,136,211,329,0.0,5.1,6.0,6.6,3.6,9.7,9.5
Suriname,724,70,4791,420,567,138564,2,4,9,708,0.5,0.5,0.5,0.5,0.1,0.6,0.5
Guinea-Bissau,676,65,18081,11875,3106,35,164,315,186,11,2.0,3.4,6.3,31.4,2.1,8.3,7.9
Solomon Islands,630,203,528,122,441,26825,3,1,5,621,2.3,2.3,2.3,2.3,0.7,3.0,2.8
Belgium,601,373,21609,1139,2011,5756,7,11,59,524,2.0,6.7,7.5,9.1,4.8,12.3,11.9
El Salvador,567,86,9961,2231,3309,4710,25,56,206,280,2.8,5.3,6.1,5.9,1.1,7.1,7.1
Bangladesh,543,70,108675,5560,8449,6965,15,23,116,389,0.4,2.5,3.3,5.6,0.5,3.7,3.7
Denmark,533,322,35730,1281,2506,3105,8,13,68,444,1.3,7.6,9.1,14.3,5.7,14.9,14.5
Croatia,454,265,31487,2890,3396,18892,53,35,40,326,0.8,1.6,1.6,1.7,1.2,2.8,2.8
French Guiana,441,42,928,110,216,81317,1,1,4,435,0.5,0.5,0.5,0.5,0.1,0.6,0.6
Equatorial Guinea,439,56,199,251,1864,24513,2,12,76,349,1.6,1.6,1.6,1.4,0.2,1.8,1.7
Nepal,434,134,94352,9930,21761,21318,67,65,106,195,0.3,0.7,0.7,0.9,0.3,1.0,1.0
Jamaica,329,68,3185,479,753,6545,7,9,28,285,3.0,4.1,4.3,4.4,0.9,5.2,5.2
Morocco,315,196,405884,2870,2251,2110,58,65,85,107,0.1,3.6,4.4,5.1,4.5,8.9,8.8
Albania,311,74,21128,1719,1711,3642,20,25,55,212,1.1,4.1,5.0,5.8,1.4,6.4,6.3
Macedonia,296,104,16148,1234,1600,5359,11,11,31,244,1.2,3.5,4.0,4.6,1.5,5.4,5.0
Haiti,286,48,17810,2494,2238,4334,19,42,76,148,1.1,2.9,3.4,3.4,0.7,4.1,4.1
Serbia,267,356,49076,3338,5852,19132,5,4,13,245,0.3,0.9,1.0,1.3,1.4,2.5,2.4
Taiwan,267,61,12174,1158,2368,20098,6,7,27,227,0.7,1.1,1.1,1.1,0.3,1.4,1.4
Switzerland,227,104,24221,1255,3120,11363,3,3,19,201,0.6,1.4,1.5,1.8,0.7,2.2,2.2
Burundi,204,36,16600,6956,1189,222,43,86,65,11,0.8,1.9,5.4,5.0,2.6,7.9,7.7
Bosnia and Herzegovina,198,265,23549,2532,4225,20546,26,15,38,120,0.4,0.6,0.6,0.6,1.1,1.7,1.7
Fiji,194,119,2205,1834,1857,12339,1,2,17,174,1.1,1.2,1.3,1.4,0.8,2.2,2.1
East Timor,185,61,7265,1467,1871,4296,4,5,20,156,1.2,2.4,2.9,3.6,1.0,3.8,3.7
Rwanda,178,71,16805,4966,1171,889,22,65,63,27,0.7,2.2,4.4,3.0,3.4,7.8,7.4
Brunei,171,88,434,68,157,5066,2,1,7,161,3.0,3.2,3.2,3.2,1.7,4.9,4.3
Netherlands,166,71,28258,1503,1896,2866,6,8,32,121,0.5,2.6,3.2,4.2,1.5,4.7,4.7
Slovenia,162,35,6851,612,1304,11166,3,3,16,140,0.8,1.2,1.3,1.3,0.3,1.5,1.5
Trinidad and Tobago,154,16,1188,111,168,3664,2,2,9,140,3.0,3.8,3.9,3.8,0.4,4.3,4.2
Puerto Rico,141,64,3591,397,539,4381,10,7,19,105,1.6,2.5,2.5,2.4,1.3,3.8,3.8
Bhutan,129,22,13772,2471,7040,16652,9,13,35,73,0.3,0.5,0.5,0.4,0.1,0.5,0.5
Namibia,128,0,822966,122,5,1,104,21,3,0,0.0,18.8,50.0,0.0,0.0,50.0,50.0
New Caledonia,125,57,3883,4303,3261,7254,7,24,37,57,0.7,0.8,0.9,0.8,0.5,1.4,1.4
Gambia,111,0,10221,213,0,0,99,11,0,0,1.1,5.2,-,-,-,-,-
Tunisia,103,115,152233,568,712,1074,13,12,20,58,0.1,3.8,4.4,5.4,6.4,10.8,10.6
Pakistan,100,8,861788,4077,3320,3349,9,11,35,46,0.0,0.9,1.2,1.4,0.1,1.3,1.3
Bahamas,95,8,8628,571,575,1995,3,6,10,75,0.8,2.9,3.3,3.8,0.3,3.6,3.6
Syria,91,16,184360,319,366,455,10,10,17,54,0.0,7.1,8.6,11.9,1.9,10.6,10.5
Georgia,90,48,37436,2601,4558,25006,5,3,11,71,0.1,0.3,0.3,0.3,0.2,0.4,0.4
Kosovo,90,56,7064,494,959,2388,3,3,7,76,0.8,2.2,2.5,3.2,1.7,4.2,4.0
Montenegro,77,70,6683,899,1309,4194,5,6,16,51,0.6,1.1,1.2,1.2,1.3,2.5,2.5
Azerbaijan,76,9,71829,2175,2938,8193,9,8,17,43,0.1,0.5,0.5,0.5,0.1,0.6,0.6
Somalia,76,3,631245,1191,146,11,44,22,9,1,0.0,2.4,6.4,9.1,1.9,8.3,8.3
Sudan,69,0,1868187,2471,12,0,55,13,1,0,0.0,0.6,8.3,-,0.0,8.3,8.3
Botswana,56,1,577110,529,13,0,47,9,0,0,0.0,1.7,0.0,-,7.7,7.7,7.7
Iran,44,11,1600192,2553,5459,9996,10,5,13,15,0.0,0.2,0.2,0.2,0.1,0.3,0.3
Luxembourg,44,27,1543,59,149,808,1,1,4,39,1.7,4.3,4.5,4.8,2.8,7.3,7.1
Vanuatu,41,14,227,211,630,10997,0,0,2,38,0.3,0.3,0.3,0.3,0.1,0.5,0.5
Moldova,41,63,29783,625,1033,2099,4,4,7,26,0.1,1.0,1.1,1.2,2.0,3.1,3.0
Kyrgyzstan,35,5,185261,2969,2220,2085,12,4,6,12,0.0,0.3,0.4,0.6,0.1,0.5,0.5
Lebanon,32,18,9695,268,249,191,8,5,8,11,0.3,3.4,4.3,5.8,4.1,8.4,8.2
Reunion,31,31,673,489,573,742,1,3,15,12,1.3,1.7,2.1,1.6,2.4,4.4,4.1
Israel,29,19,21626,149,104,77,9,4,7,9,0.1,6.1,8.8,11.7,10.5,19.3,19.3
Mauritius,25,30,1020,326,216,292,2,5,8,11,1.3,2.9,3.7,3.8,5.9,9.6,9.1
Egypt,24,50,974071,3726,140,6,9,8,6,1,0.0,0.4,4.8,16.7,34.2,39.0,39.0
Cyprus,24,2,8057,572,385,231,8,5,5,7,0.3,1.4,1.9,3.0,0.3,2.3,2.3
Martinique,22,5,351,45,81,629,1,1,2,19,2.0,2.9,3.0,3.0,0.7,3.7,3.5
Armenia,21,13,24882,519,698,2252,2,1,3,15,0.1,0.5,0.6,0.7,0.4,1.1,1.1
Afghanistan,20,3,641182,1064,729,755,2,4,8,6,0.0,0.7,0.9,0.8,0.2,1.1,1.1
Guadeloupe,20,12,673,59,84,818,2,1,3,14,1.2,1.9,1.9,1.7,1.3,3.2,3.1
Uzbekistan,15,5,433865,712,309,205,5,3,4,4,0.0,0.9,1.6,2.0,1.0,2.5,2.5
Comoros,7,4,236,350,369,690,0,1,3,4,0.4,0.6,0.7,0.6,0.4,1.0,1.0
Tajikistan,7,1,140238,507,131,63,4,1,1,1,0.0,0.4,1.0,1.6,0.5,1.5,1.5
Turkmenistan,7,3,466423,69,33,25,2,2,1,2,0.0,3.9,5.2,8.0,5.2,10.3,10.3
Libya,7,4,1615869,55,16,3,5,1,0,0,0.0,1.4,0.0,0.0,21.1,21.1,21.1
Cape Verde,4,20,3862,41,13,24,3,0,0,1,0.1,1.3,2.7,4.2,54.1,56.8,56.8
Iraq,3,3,442709,133,58,8,2,0,0,0,0.0,0.0,0.0,0.0,4.5,4.5,4.5
Hong Kong,2,3,436,117,242,280,0,0,1,1,0.2,0.3,0.4,0.4,0.6,1.0,1.0
Lesotho,2,2,30302,110,5,0,1,0,0,0,0.0,0.0,0.0,-,40.0,40.0,40.0
Palestina,1,1,6019,5,2,1,1,0,0,0,0.0,0.0,0.0,0.0,33.3,33.3,33.3
Oman,1,0,309101,0,0,0,1,0,0,0,0.0,-,-,-,-,-,-
Yemen,1,0,452043,2,0,0,1,0,0,0,0.0,0.0,-,-,-,-,-
Niger,1,0,1183525,0,0,0,1,0,0,0,0.0,-,-,-,-,-,-
Mauritania,1,0,1040803,0,0,0,0,0,0,0,0.0,-,-,-,-,-,-
Eritrea,0,0,119719,0,0,0,0,0,0,0,0.0,-,-,-,-,-,-
Jordan,0,0,88670,9,11,5,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
United Arab Emirates,0,0,79190,0,0,0,0,0,0,0,0.0,-,-,-,-,-,-
Djibouti,0,0,21514,0,0,0,0,0,0,0,0.0,-,-,-,-,-,-
Saudi Arabia,0,0,1908357,0,0,0,0,0,0,0,0.0,-,-,-,-,-,-
Qatar,0,0,11214,0,0,0,0,0,0,0,0.0,-,-,-,-,-,-
Falkland Islands,0,0,11977,0,0,0,0,0,0,0,0.0,-,-,-,-,-,-
Kuwait,0,0,17384,0,0,0,0,0,0,0,0.0,-,-,-,-,-,-
Iceland,0,0,99299,0,0,0,0,0,0,0,0.0,-,-,-,-,-,-
Western Sahara,0,0,267282,0,0,0,0,0,0,0,0.0,-,-,-,-,-,-
